,power,speed
2018-05-18 14:18:18,173.0,311.544
2018-05-18 14:18:19,172.0,315.36
2018-05-18 14:18:20,180.0,312.804
2018-05-18 14:18:21,189.0,319.284
2018-05-18 14:18:22,215.0,317.988
2018-05-18 14:18:23,213.0,315.36
2018-05-18 14:18:24,219.0,317.988
2018-05-18 14:18:25,188.0,316.65599999999995
2018-05-18 14:18:26,171.0,316.65599999999995
2018-05-18 14:18:27,163.0,317.988
2018-05-18 14:18:28,157.0,317.988
2018-05-18 14:18:29,157.0,320.61600000000004
2018-05-18 14:18:30,162.0,327.42
2018-05-18 14:18:31,164.0,330.192
2018-05-18 14:18:32,156.0,330.192
2018-05-18 14:18:33,154.0,323.28000000000003
2018-05-18 14:18:34,165.0,316.65599999999995
2018-05-18 14:18:35,184.0,317.988
2018-05-18 14:18:36,221.0,315.36
2018-05-18 14:18:37,213.0,319.932
2018-05-18 14:18:38,208.0,321.948
2018-05-18 14:18:39,202.0,324.648
2018-05-18 14:18:40,193.0,326.01599999999996
2018-05-18 14:18:41,191.0,328.78799999999995
2018-05-18 14:18:42,217.0,326.01599999999996
2018-05-18 14:18:43,223.0,330.192
2018-05-18 14:18:44,236.0,333.75600000000003
2018-05-18 14:18:45,277.0,334.476
2018-05-18 14:18:46,302.0,340.38
2018-05-18 14:18:47,300.0,341.892
2018-05-18 14:18:48,286.0,343.404
2018-05-18 14:18:49,248.0,341.892
2018-05-18 14:18:50,254.0,346.5
2018-05-18 14:18:51,250.0,349.632
2018-05-18 14:18:52,264.0,361.044
2018-05-18 14:18:53,278.0,371.48400000000004
2018-05-18 14:18:54,278.0,366.192
2018-05-18 14:18:55,290.0,366.192
2018-05-18 14:18:56,292.0,361.044
2018-05-18 14:18:57,254.0,356.076
2018-05-18 14:18:58,236.0,357.73199999999997
2018-05-18 14:18:59,215.0,359.38800000000003
2018-05-18 14:19:00,211.0,357.73199999999997
2018-05-18 14:19:01,213.0,359.38800000000003
2018-05-18 14:19:02,229.0,361.044
2018-05-18 14:19:03,255.0,364.464
2018-05-18 14:19:04,259.0,363.59999999999997
2018-05-18 14:19:05,259.0,366.192
2018-05-18 14:19:06,271.0,364.464
2018-05-18 14:19:07,254.0,361.044
2018-05-18 14:19:08,248.0,359.38800000000003
2018-05-18 14:19:09,201.0,358.56000000000006
2018-05-18 14:19:10,183.0,356.076
2018-05-18 14:19:11,203.0,364.464
2018-05-18 14:19:12,237.0,369.684
2018-05-18 14:19:13,254.0,376.92
2018-05-18 14:19:14,266.0,374.184
2018-05-18 14:19:15,284.0,372.38399999999996
2018-05-18 14:19:16,281.0,367.92
2018-05-18 14:19:17,260.0,359.38800000000003
2018-05-18 14:19:18,163.0,359.38800000000003
2018-05-18 14:19:19,140.0,356.076
2018-05-18 14:19:20,155.0,359.38800000000003
2018-05-18 14:19:21,172.0,357.73199999999997
2018-05-18 14:19:22,181.0,358.56000000000006
2018-05-18 14:19:23,223.0,361.044
2018-05-18 14:19:24,236.0,359.38800000000003
2018-05-18 14:19:25,250.0,361.044
2018-05-18 14:19:26,248.0,361.044
2018-05-18 14:19:27,241.0,357.73199999999997
2018-05-18 14:19:28,228.0,361.044
2018-05-18 14:19:29,222.0,359.38800000000003
2018-05-18 14:19:30,185.0,357.73199999999997
2018-05-18 14:19:31,173.0,357.73199999999997
2018-05-18 14:19:32,202.0,364.464
2018-05-18 14:19:33,212.0,375.084
2018-05-18 14:19:34,223.0,367.92
2018-05-18 14:19:35,249.0,367.92
2018-05-18 14:19:36,258.0,364.464
2018-05-18 14:19:37,258.0,357.73199999999997
2018-05-18 14:19:38,230.0,364.464
2018-05-18 14:19:39,241.0,362.772
2018-05-18 14:19:40,199.0,364.464
2018-05-18 14:19:41,223.0,366.192
2018-05-18 14:19:42,235.0,371.48400000000004
2018-05-18 14:19:43,287.0,376.92
2018-05-18 14:19:44,299.0,376.92
2018-05-18 14:19:45,315.0,378.75600000000003
2018-05-18 14:19:46,312.0,371.48400000000004
2018-05-18 14:19:47,340.0,376.92
2018-05-18 14:19:48,324.0,381.564
2018-05-18 14:19:49,322.0,384.408
2018-05-18 14:19:50,309.0,393.228
2018-05-18 14:19:51,326.0,402.444
2018-05-18 14:19:52,340.0,413.20799999999997
2018-05-18 14:19:53,374.0,416.52
2018-05-18 14:19:54,369.0,408.816
2018-05-18 14:19:55,364.0,404.532
2018-05-18 14:19:56,364.0,404.532
2018-05-18 14:19:57,328.0,404.532
2018-05-18 14:19:58,309.0,406.65599999999995
2018-05-18 14:19:59,303.0,406.65599999999995
2018-05-18 14:20:00,286.0,408.816
2018-05-18 14:20:01,303.0,414.28799999999995
2018-05-18 14:20:02,337.0,415.404
2018-05-18 14:20:03,395.0,421.056
2018-05-18 14:20:04,400.0,411.012
2018-05-18 14:20:05,328.0,412.092
2018-05-18 14:20:06,346.0,413.20799999999997
2018-05-18 14:20:07,323.0,415.404
2018-05-18 14:20:08,292.0,416.52
2018-05-18 14:20:09,274.0,426.88800000000003
2018-05-18 14:20:10,317.0,434.08799999999997
2018-05-18 14:20:11,385.0,434.08799999999997
2018-05-18 14:20:12,407.0,422.20799999999997
2018-05-18 14:20:13,379.0,416.52
2018-05-18 14:20:14,314.0,413.20799999999997
2018-05-18 14:20:15,234.0,408.816
2018-05-18 14:20:16,229.0,411.012
2018-05-18 14:20:17,238.0,413.20799999999997
2018-05-18 14:20:18,283.0,417.672
2018-05-18 14:20:19,323.0,419.93999999999994
2018-05-18 14:20:20,346.0,429.264
2018-05-18 14:20:21,299.0,415.404
2018-05-18 14:20:22,276.0,411.012
2018-05-18 14:20:23,246.0,411.012
2018-05-18 14:20:24,219.0,404.532
2018-05-18 14:20:25,162.0,402.444
2018-05-18 14:20:26,123.0,392.21999999999997
2018-05-18 14:20:27,144.0,390.24
2018-05-18 14:20:28,130.0,384.408
2018-05-18 14:20:29,129.0,378.75600000000003
2018-05-18 14:20:30,122.0,366.192
2018-05-18 14:20:31,104.0,361.044
2018-05-18 14:20:32,85.0,358.56000000000006
